Selector	TP	pc	pm	Caso-A1	Caso-A2	Caso-A3	Caso-A4	Caso-A5
GARouletteWheel	100	0.8	0.05	4	2	0	2	4
GARouletteWheel	100	0.8	0.1	0	0	2	4	2
GARouletteWheel	100	0.8	0.125	4	4	4	4	4
GARouletteWheel	100	0.8	0.15	5	0	2	4	4
GARouletteWheel	100	0.8	0.175	0	0	4	6	2
GARouletteWheel	100	0.85	0.05	4	2	0	7	2
GARouletteWheel	100	0.85	0.1	0	0	4	4	7
GARouletteWheel	100	0.85	0.125	2	0	6	4	2
GARouletteWheel	100	0.85	0.15	5	0	4	5	2
GARouletteWheel	100	0.85	0.175	7	0	2	7	2
GARouletteWheel	100	0.9	0.05	4	0	5	6	2
GARouletteWheel	100	0.9	0.1	4	0	0	2	4
GARouletteWheel	100	0.9	0.125	5	2	0	6	0
GARouletteWheel	100	0.9	0.15	2	4	4	4	4
GARouletteWheel	100	0.9	0.175	0	0	0	5	6
GARouletteWheel	100	0.95	0.05	0	0	2	0	4
GARouletteWheel	100	0.95	0.1	2	0	4	4	8
GARouletteWheel	100	0.95	0.125	0	2	4	0	8
GARouletteWheel	100	0.95	0.15	0	0	0	4	2
GARouletteWheel	100	0.95	0.175	0	2	5	5	0
GARouletteWheel	150	0.8	0.05	0	0	0	3	4
GARouletteWheel	150	0.8	0.1	0	2	2	5	5
GARouletteWheel	150	0.8	0.125	0	0	4	4	4
GARouletteWheel	150	0.8	0.15	0	0	2	6	4
GARouletteWheel	150	0.8	0.175	0	0	6	4	2
GARouletteWheel	150	0.85	0.05	0	0	0	4	4
GARouletteWheel	150	0.85	0.1	2	0	8	5	5
GARouletteWheel	150	0.85	0.125	4	0	2	6	2
GARouletteWheel	150	0.85	0.15	4	2	4	5	4
GARouletteWheel	150	0.85	0.175	0	0	8	7	4
GARouletteWheel	150	0.9	0.05	0	0	2	0	4
GARouletteWheel	150	0.9	0.1	0	2	2	2	2
GARouletteWheel	150	0.9	0.125	4	0	6	4	4
GARouletteWheel	150	0.9	0.15	0	0	4	6	8
GARouletteWheel	150	0.9	0.175	4	5	4	6	4
GARouletteWheel	150	0.95	0.05	0	2	0	5	2
GARouletteWheel	150	0.95	0.1	0	5	4	4	2
GARouletteWheel	150	0.95	0.125	0	9	2	4	6
GARouletteWheel	150	0.95	0.15	4	0	4	0	7
GARouletteWheel	150	0.95	0.175	4	5	0	8	6
GATournament	100	0.8	0.05	0	0	2	3	4
GATournament	100	0.8	0.1	0	0	0	0	0
GATournament	100	0.8	0.125	0	0	0	0	0
GATournament	100	0.8	0.15	0	0	0	0	0
GATournament	100	0.8	0.175	0	0	0	0	5
GATournament	100	0.85	0.05	0	2	0	0	2
GATournament	100	0.85	0.1	0	0	0	3	4
GATournament	100	0.85	0.125	0	0	0	0	0
GATournament	100	0.85	0.15	0	0	0	0	0
GATournament	100	0.85	0.175	0	0	0	0	0
GATournament	100	0.9	0.05	0	0	0	2	6
GATournament	100	0.9	0.1	0	0	2	4	0
GATournament	100	0.9	0.125	0	0	0	0	0
GATournament	100	0.9	0.15	0	0	0	0	0
GATournament	100	0.9	0.175	0	0	2	3	0
GATournament	100	0.95	0.05	0	0	2	0	0
GATournament	100	0.95	0.1	0	0	0	0	0
GATournament	100	0.95	0.125	0	0	0	0	0
GATournament	100	0.95	0.15	0	0	4	0	0
GATournament	100	0.95	0.175	0	0	2	0	4
GATournament	150	0.8	0.05	4	2	2	4	0
GATournament	150	0.8	0.1	0	0	0	0	0
GATournament	150	0.8	0.125	0	0	0	3	0
GATournament	150	0.8	0.15	0	0	0	0	0
GATournament	150	0.8	0.175	0	0	0	2	2
GATournament	150	0.85	0.05	2	0	0	4	0
GATournament	150	0.85	0.1	0	0	0	0	0
GATournament	150	0.85	0.125	0	0	0	0	0
GATournament	150	0.85	0.15	0	0	0	3	0
GATournament	150	0.85	0.175	0	0	0	0	2
GATournament	150	0.9	0.05	0	0	2	4	4
GATournament	150	0.9	0.1	0	0	0	3	0
GATournament	150	0.9	0.125	0	0	0	0	0
GATournament	150	0.9	0.15	0	0	0	0	0
GATournament	150	0.9	0.175	0	0	0	0	2
GATournament	150	0.95	0.05	0	0	2	4	5
GATournament	150	0.95	0.1	0	0	0	0	0
GATournament	150	0.95	0.125	0	0	0	0	0
GATournament	150	0.95	0.15	0	0	0	4	0
GATournament	150	0.95	0.175	0	0	0	0	0
								
